Reactant = CC#C Product = CC#[C] BarrierHeight = -8.278147349231721 Reaction Energy = 84.56498486803312 Spline = [-723.0444745474495, -723.0444636428039, -723.043747958404, -723.0424531666046, -723.0406841069578, -723.0385269198382, -723.0360525498784, -723.033314988232, -723.0303547990582, -723.0272006996051, -723.0238602291786, -723.0203878287211, -723.0167963198372, -723.0131317399427, -723.0094571640665, -723.0058187609933, -723.0022752854904, -722.9988870797882, -722.9957445982151, -722.9928868397134, -722.9903604144474, -722.9882711247878, -722.9864817101587, -722.9850268373259, -722.9838837256646, -722.9821041401792, -722.9814687972809, -722.9811109871753, -722.9809906687001, -722.9811832470118, -722.9816718404342, -722.9824874943121, -722.9835870348977, -722.984968486537, -722.9866391197319, -722.9885302319989, -722.9905627822594, -722.992942638767, -722.9956607080463, -722.9987806925541, -723.0023563189126, -723.0063837114606, -723.0108140373981, -723.015579489739, -723.0206031767922, -723.0258240933656, -723.0353100316115, -723.0411405146031, -723.0471231965636, -723.053170517291, -723.0591693775765, -723.0649559433638, -723.070272465971, -723.0747225370841, -723.0777089012741, -723.0783695103903, -723.075510976234, -723.0675328680953, -723.0523652596478, -723.0273918112606]
Reactant = CC#C Product = C[C]=CO BarrierHeight = 4.142281825370492 Reaction Energy = -124.70962778678104 Spline = [-723.0444745474495, -723.0439218619879, -723.0420152815453, -723.0396278966335, -723.037355471831, -723.0355585693658, -723.0344041730064, -723.0339072268503, -723.0339632636446, -723.0344201520663, -723.0350724464749, -723.0357211769473, -723.0362021945053, -723.0363975314675, -723.0362901915797, -723.0359245358474, -723.0353852810155, -723.034756879224, -723.0340762492668, -723.0333809191179, -723.032650302421, -723.0318071805549, -723.030787508972, -723.0295504324512, -723.0280426724017, -723.0256018554242, -723.0234988620776, -723.0214114367413, -723.0194818369555, -723.0178036798897, -723.016380817423, -723.015114606217, -723.0137815737678, -723.011995249509, -723.0093136397207, -723.0054970211814, -723.0006964833568, -722.9954444383033, -722.9905282916114, -722.9869892419133, -722.9841853427557, -722.9937413191965, -722.993581268268, -722.9917191707516, -722.9874924544607, -722.9809526984745, -722.9729001065274, -722.9645834948582, -722.9572125320785, -722.9525821891383, -722.9543618596853, -722.9706499996955, -723.0174332543647, -723.1203423249272, -723.3102653434136, -723.6080769256588, -723.9930619242195, -724.3905030798584, -724.7062011041384, -724.8417525246604]
Reactant = CC#C Product = CC(=[CH])O BarrierHeight = -20.07151567266433 Reaction Energy = -129.88482313995436 Spline = [-723.0444745474495, -723.0429760349439, -723.0395881885206, -723.0352365909673, -723.0306002035757, -723.0261417219449, -723.0221376195528, -723.0187084852863, -723.0158493962235, -723.0134449394288, -723.0113552218876, -723.009358425902, -723.0072300139008, -723.0047530175798, -723.0017231423433, -722.9979837043244, -722.9934426185762, -722.9880133146637, -722.9817632115116, -722.9747101540454, -722.9669485179747, -722.9586673484696, -722.9500708161439, -722.9413945068007, -722.932886429847, -722.9247909932452, -722.9173673116039, -722.9107946577609, -722.9052392622575, -722.9007938244151, -722.8974634347655, -722.8950927352438, -722.8933793127162, -722.8919803926917, -722.8904621069431, -722.8883965829777, -722.8853294596346, -722.880793115199, -722.8743040605481, -722.8653905932705, -722.8535804648689, -722.8570394694734, -722.8419941580801, -722.8243057499812, -722.8043072513319, -722.7825992426162, -722.7600373735218, -722.7377071962125, -722.7170130542678, -722.7001873013814, -722.6917618668839, -722.7015613464634, -722.7484247690252, -722.8608109445726, -723.0698351114513, -723.3907673504018, -723.79337518679, -724.2010225437654, -724.5215398446014, -724.6501056913709]
Reactant = C[C][CH]O Product = CC(=[CH])O BarrierHeight = 211.3613390206824 Reaction Energy = -5.084008560307985 Spline = [-724.8416681181226, -724.8816770785886, -724.9123198165494, -724.9360157010882, -724.9545449032888, -724.969099759903, -724.9803530968753, -724.9885370131082, -724.993528056866, -724.9949361799627, -724.9921951826589, -724.9846514147813, -724.971645481506, -724.9525787772843, -724.9269918291673, -724.8947810162778, -724.8559441304325, -724.8100452170482, -724.7557144585641, -724.6903424062606, -724.6101750705031, -724.5117901049298, -724.3943583426028, -724.2602281727039, -724.1157070943636, -723.971159056363, -723.8396266306365, -723.733408053325, -723.6594117173161, -723.6175811622984, -723.6040390127316, -723.6154523455023, -723.6508075677209, -723.7102073778101, -723.7921464328966, -723.8917190608857, -724.0013429691926, -724.1127816164569, -724.2191144793835, -724.31578559173, -724.400766755295, -724.4745362042956, -724.5386421911392, -724.5944861846584, -724.6430059627327, -724.6846740949061, -724.719684968977, -724.7482723739315, -724.7709224815727, -724.7880911165291, -724.8001387521067, -724.8073146655288, -724.8097351744758, -724.807350435415, -724.799894509834, -724.7868120646104, -724.7671547793067, -724.739440754946, -724.7014713575057, -724.6501028677526]
Reactant = C[C][CH]O Product = CC#[C] BarrierHeight = 220.8411822755605 Reaction Energy = 182.96923851205997 Spline = [-724.8416681181226, -724.8731527198414, -724.8903756025785, -724.896757962699, -724.8954446572718, -724.8892578821519, -724.880658058803, -724.8717082120639, -724.8640399349526, -724.8588206531848, -724.8567234654213, -724.8579020761831, -724.8619743058454, -724.8680183467882, -724.8745861978028, -724.8797386509428, -724.8811056531357, -724.8759748113488, -724.8614093054908, -724.8343941423592, -724.7920072587195, -724.7316086523915, -724.6510380250176, -724.5488094204878, -724.4242918122262, -724.2778689109659, -724.1110810376985, -723.9267635065747, -723.7291917127193, -723.5241651019398, -723.3187189091383, -723.119990646115, -722.9324746038762, -722.7555016447, -722.5836049881221, -722.4092939250835, -722.2264575478129, -722.0331987648191, -721.8338336242512, -721.6402714539759, -721.4726995306219, -721.3576545454765, -721.3237098036271, -721.3866847708782, -721.6567339171776, -721.823991878826, -721.9672681796338, -722.0854757225443, -722.1799007716029, -722.2530438650508, -722.3080158132997, -722.3481552691669, -722.3767623091625, -722.3969007010087, -722.4112413206822, -722.4219288453487, -722.4304601227277, -722.4375663824025, -722.4430933173373, -722.4458743937442]
Reactant = C[C][CH]O Product = C[C]=CO BarrierHeight = -19.463730086024363 Reaction Energy = -0.00027075250650341335 Spline = [-724.8416681181226, -724.8617561338018, -724.8778986926492, -724.890838931629, -724.9011991986848, -724.9094946705213, -724.916147440458, -724.9215005846706, -724.9258314726619, -724.9293645555329, -724.9322826259861, -724.934736678742, -724.9368540944339, -724.9387449631466, -724.9404882134156, -724.942054620036, -724.9433832108925, -724.944416788582, -724.9450992591733, -724.9453721260352, -724.9451713830379, -724.9444943568451, -724.9434430004809, -724.9421306901679, -724.9406789153514, -724.9392203427168, -724.9378996036904, -724.9368596638752, -724.9361576219761, -724.9358040215702, -724.935804009663, -724.9361575853172, -724.9368596026021, -724.9378995271078, -724.9392202772897, -724.9406788995935, -724.942130770821, -724.9434432223848, -724.9444947519105, -724.9451719580823, -724.9453728548971, -724.9451000983879, -724.944417694229, -724.9433841438387, -724.9420555492502, -724.9404891172647, -724.9387458292963, -724.9368549182088, -724.9347374597772, -724.9322833726364, -724.9293652865342, -724.9258322204033, -724.921501394469, -724.9161483683795, -724.9094957758658, -724.9012005338083, -724.8908405255218, -724.87790052839, -724.8617581226016, -724.8416700631652]
Reactant = C[C][CH]O Product = CC#C BarrierHeight = 107.96444952661768 Reaction Energy = 124.78919866222081 Spline = [-724.8416681181226, -724.8918764650444, -724.927227263702, -724.9506702600976, -724.9647593874139, -724.971659129406, -724.9731708126541, -724.9707734368002, -724.965671586929, -724.9588414378906, -724.9510647857761, -724.9429405499218, -724.9348632098934, -724.9269583855794, -724.9189361383051, -724.9099947738673, -724.8994170953524, -724.8869321338999, -724.8727924965087, -724.857648840822, -724.8422008417708, -724.8266594626963, -724.8107009802524, -724.7937179294025, -724.7747464301019, -724.7522739912857, -724.7240131503033, -724.6866868425147, -724.6361583844866, -724.5693722126482, -724.4854514978063, -724.3859190360439, -724.2745278637856, -724.1567556650236, -724.0385074769104, -723.9249439660535, -723.8208461922304, -723.7296617715276, -723.65268341974, -723.5892085222479, -723.5374434076475, -723.495001720647, -723.4593630472332, -723.4283370417194, -723.4001735640223, -723.3735759324087, -723.3476676875605, -723.3220094883003, -723.2966521963771, -723.271831395602, -723.2478535761018, -723.2250232785711, -723.203563231866, -723.183529451864, -723.1647238687043, -723.146610582723, -723.1282360784446, -723.1081668888179, -723.08443806014, -723.0545440940389]
Reactant = C[C][CH]O Product = [CH2]C=CO BarrierHeight = 153.128736716867 Reaction Energy = -108.04895325395496 Spline = [-724.8416681181226, -724.9090398441662, -724.9573178455523, -724.9900974645338, -725.0103531885344, -725.0205002644307, -725.0224499967636, -725.0176558757629, -725.0071472734708, -724.991548151747, -724.9710793561994, -724.9455458507088, -724.9143120682187, -724.8762705098062, -724.8298392216345, -724.773143134264, -724.7040687099152, -724.6202488112527, -724.5190445106684, -724.3975601479524, -724.2528258752649, -724.0828834933611, -723.8894604849538, -723.6809920683518, -723.477816813836, -723.3204022879789, -723.2686544489829, -723.3596654894142, -723.5637554591799, -723.8206972703226, -724.0854570895368, -724.333687039395, -724.5540949829896, -724.7429742684178, -724.9015241637156, -725.0337238453138, -725.1439280122527, -725.2361680035975, -725.3139269701451, -725.3801117462476, -725.4371253488855, -725.4870356640382, -725.5313377773299, -725.5709613425818, -725.6065117183023, -725.6384901911144, -725.6674623958222, -725.694044382257, -725.7186123854566, -725.7413910184808, -725.7625135462107, -725.7820367173427, -725.7999405032543, -725.8161107424295, -725.8303025062257, -725.8420815804812, -725.8507407638522, -725.8551867307644, -725.8537920037492, -725.8442051285348]
Reactant = C[C][CH]O Product = C[CH]C=O BarrierHeight = 132.6820289759351 Reaction Energy = -122.00238110780201 Spline = [-724.8416681181226, -724.8812932802036, -724.9089538448821, -724.9259725596248, -724.9331869611469, -724.9309999815313, -724.9194192865607, -724.8980877500937, -724.8663106694548, -724.8230875251944, -724.7671573272884, -724.6970667046979, -724.6112690397077, -724.50826070462, -724.3867580711868, -724.2459168903034, -724.0855955949544, -723.9066668513477, -723.7113881817348, -723.5038522170686, -723.290553545494, -723.0812077337949, -722.8910362890362, -722.7637467508525, -722.7888605815191, -722.9219560936447, -723.1043890203258, -723.3114450936143, -723.5292164637569, -723.7474310816514, -723.9581030251704, -724.1556116667691, -724.3364614302275, -724.498649247533, -724.6414221936952, -724.765048542601, -724.8705948507348, -724.9597157847879, -725.0344601262697, -725.0970948571644, -725.1499488471875, -725.1952777236743, -725.235151578395, -725.2713669986697, -725.3053844187781, -725.3382909406386, -725.3707877302747, -725.4031998693306, -725.4355053646111, -725.4673790055461, -725.4982460651236, -725.5273404811148, -725.5537622884775, -725.5765295513594, -725.5946208797234, -725.6070056521964, -725.6126602221541, -725.6105694974209, -725.5997143406593, -725.5790461013391]
Reactant = C[C][CH]O Product = CC#CO BarrierHeight = 170.61317830783383 Reaction Energy = 174.77406960187224 Spline = [-724.8416681181226, -724.8873551771925, -724.9221214688142, -724.947358632207, -724.964351869677, -724.9742836570041, -724.9782358899197, -724.9771894139174, -724.9720229043376, -724.9635106018089, -724.9523206908528, -724.9390152128692, -724.9240525753759, -724.9077938227437, -724.8905128938421, -724.8724115350885, -724.8536386593956, -724.8343135704166, -724.8145523612486, -724.7944962708287, -724.7743404449882, -724.7543611418454, -724.7349389177151, -724.7165747299767, -724.6998951216277, -724.6856420255323, -724.6746416893426, -724.667747477834, -724.6657507673642, -724.6692559102835, -724.6785117864749, -724.6930975259746, -724.7117446569132, -724.7323413603935, -724.7518772470999, -724.7664491598366, -724.7713521443718, -724.7612659702964, -724.730539316138, -724.6735637475078, -724.5852214351329, -724.4613889684986, -724.2994942254576, -724.0991766345511, -723.8632538252525, -723.5995934633268, -723.3250490350551, -723.0696625376393, -722.8671159771537, -722.7330254749245, -722.6626346812255, -722.6412913275902, -722.65167286057, -722.6779062249169, -722.7082606506341, -722.7354592606719, -722.7552487312946, -722.7649661394007, -722.7626439875056, -722.7465009743473]
